Percentage,Wavelength,Power,Bidirectional,Zoom,Pockels,GDD
20,920,28,1,2.1,7,4000
40,920,52,1,2.1,7,4000
60,920,65,1,2.1,7,4000
80,920,86,1,2.1,7,4000
100,920,88,1,2.1,7,4000
20,940,25,1,2.1,7,4000
40,940,44,1,2.1,7,4000
60,940,60,1,2.1,7,4000
80,940,73,1,2.1,7,4000
100,940,77,1,2.1,7,4000
20,960,22,1,2.1,7,4000
40,960,39,1,2.1,7,4000
60,960,53,1,2.1,7,4000
80,960,69,1,2.1,7,4000
100,960,74,1,2.1,7,4000
20,980,19,1,2.1,7,4000
40,980,35,1,2.1,7,4000
60,980,48,1,2.1,7,4000
80,980,60,1,2.1,7,4000
100,980,67,1,2.1,7,4000
20,1000,15,1,2.1,7,4000
40,1000,27,1,2.1,7,4000
60,1000,39,1,2.1,7,4000
80,1000,49,1,2.1,7,4000
100,1000,55,1,2.1,7,4000
20,1020,12,1,2.1,7,4000
40,1020,22,1,2.1,7,4000
60,1020,31,1,2.1,7,4000
80,1020,40,1,2.1,7,4000
100,1020,47,1,2.1,7,4000
20,1040,11,1,2.1,7,4000
40,1040,20,1,2.1,7,4000
60,1040,28,1,2.1,7,4000
80,1040,36,1,2.1,7,4000
100,1040,43,1,2.1,7,4000
